Province,Country,Confirmed
,Afghanistan,174
,Albania,243
,Algeria,716
,Andorra,376
,Angola,7
,Antigua and Barbuda,7
,Argentina,1054
,Armenia,532
Australian Capital Territory,Australia,80
New South Wales,Australia,2032
Northern Territory,Australia,17
Queensland,Australia,743
South Australia,Australia,337
Tasmania,Australia,69
Victoria,Australia,917
Western Australia,Australia,364
,Austria,10180
,Azerbaijan,298
,Bahamas,14
,Bahrain,567
,Bangladesh,51
,Barbados,34
,Belarus,152
,Belgium,12775
,Benin,9
,Bhutan,4
,Bolivia,107
,Bosnia and Herzegovina,420
,Brazil,5717
,Brunei,129
,Bulgaria,399
,Burkina Faso,261
,Cabo Verde,6
,Cambodia,109
,Cameroon,193
Alberta,Canada,690
British Columbia,Canada,1013
Grand Princess,Canada,13
Manitoba,Canada,103
New Brunswick,Canada,70
Newfoundland and Labrador,Canada,152
Nova Scotia,Canada,147
Ontario,Canada,1966
Prince Edward Island,Canada,21
Quebec,Canada,4162
Saskatchewan,Canada,184
,Central African Republic,3
,Chad,7
,Chile,2738
Anhui,China,990
Beijing,China,580
Chongqing,China,579
Fujian,China,343
Gansu,China,138
Guangdong,China,1494
Guangxi,China,254
Guizhou,China,146
Hainan,China,168
Hebei,China,321
Heilongjiang,China,484
Henan,China,1276
Hong Kong,China,714
Hubei,China,67801
Hunan,China,1018
Inner Mongolia,China,107
Jiangsu,China,646
Jiangxi,China,937
Jilin,China,98
Liaoning,China,139
Macau,China,41
Ningxia,China,75
Qinghai,China,18
Shaanxi,China,253
Shandong,China,774
Shanghai,China,509
Shanxi,China,136
Sichuan,China,550
Tianjin,China,174
Tibet,China,1
Xinjiang,China,76
Yunnan,China,182
Zhejiang,China,1257
,Colombia,906
,Congo (Brazzaville),19
,Congo (Kinshasa),98
,Costa Rica,347
,Cote d'Ivoire,179
,Croatia,867
,Diamond Princess,712
,Cuba,186
,Cyprus,262
,Czechia,3308
Faroe Islands,Denmark,169
Greenland,Denmark,10
,Denmark,2860
,Djibouti,30
,Dominican Republic,1109
,Ecuador,2240
,Egypt,710
,El Salvador,32
,Equatorial Guinea,12
,Eritrea,15
,Estonia,745
,Eswatini,9
,Ethiopia,26
,Fiji,5
,Finland,1418
French Guiana,France,43
French Polynesia,France,36
Guadeloupe,France,114
Mayotte,France,94
New Caledonia,France,16
Reunion,France,247
Saint Barthelemy,France,6
St Martin,France,15
Martinique,France,128
,France,52128
,Gabon,16
,Gambia,4
,Georgia,110
,Germany,71808
,Ghana,161
,Greece,1314
,Guatemala,38
,Guinea,22
,Guyana,12
,Haiti,15
,Holy See,6
,Honduras,141
,Hungary,492
,Iceland,1135
,India,1397
,Indonesia,1528
,Iran,44605
,Iraq,694
,Ireland,3235
,Israel,5358
,Italy,105792
,Jamaica,36
,Japan,1953
,Jordan,274
,Kazakhstan,343
,Kenya,59
,"Korea, South",9786
,Kuwait,289
,Kyrgyzstan,107
,Latvia,398
,Lebanon,470
,Liberia,3
,Liechtenstein,68
,Lithuania,537
,Luxembourg,2178
,Madagascar,57
,Malaysia,2766
,Maldives,18
,Malta,169
,Mauritania,6
,Mauritius,143
,Mexico,1094
,Moldova,353
,Monaco,52
,Mongolia,12
,Montenegro,109
,Morocco,617
,Namibia,11
,Nepal,5
Aruba,Netherlands,55
Curacao,Netherlands,11
Sint Maarten,Netherlands,6
,Netherlands,12595
,New Zealand,647
,Nicaragua,5
,Niger,27
,Nigeria,135
,North Macedonia,329
,Norway,4641
,Oman,192
,Pakistan,1938
,Panama,1181
,Papua New Guinea,1
,Paraguay,65
,Peru,1065
,Philippines,2084
,Poland,2311
,Portugal,7443
,Qatar,781
,Romania,2245
,Russia,2337
,Rwanda,75
,Saint Lucia,13
,Saint Vincent and the Grenadines,1
,San Marino,236
,Saudi Arabia,1563
,Senegal,175
,Serbia,900
,Seychelles,10
,Singapore,926
,Slovakia,363
,Slovenia,802
,Somalia,5
,South Africa,1353
,Spain,95923
,Sri Lanka,143
,Sudan,7
,Suriname,9
,Sweden,4435
,Switzerland,16605
,Taiwan*,322
,Tanzania,19
,Thailand,1651
,Togo,34
,Trinidad and Tobago,87
,Tunisia,394
,Turkey,13531
,Uganda,44
,Ukraine,645
,United Arab Emirates,664
Bermuda,United Kingdom,32
Cayman Islands,United Kingdom,14
Channel Islands,United Kingdom,141
Gibraltar,United Kingdom,69
Isle of Man,United Kingdom,60
Montserrat,United Kingdom,5
,United Kingdom,25150
,Uruguay,338
,US,188172
,Uzbekistan,172
,Venezuela,135
,Vietnam,212
,Zambia,35
,Zimbabwe,8
Diamond Princess,Canada,0
,Dominica,12
,Grenada,9
,Mozambique,8
,Syria,10
,Timor-Leste,1
,Belize,3
Recovered,Canada,0
,Laos,9
,Libya,10
,West Bank and Gaza,119
,Guinea-Bissau,8
,Mali,28
,Saint Kitts and Nevis,8
Northwest Territories,Canada,1
Yukon,Canada,5
,Kosovo,112
,Burma,15
Anguilla,United Kingdom,2
British Virgin Islands,United Kingdom,3
Turks and Caicos Islands,United Kingdom,5
,MS Zaandam,2
,Botswana,4
,Burundi,2
,Sierra Leone,1
